#reverse_pos	count	cdf
307	44	0.756089
308	24	0.756202
309	37	0.756377
310	43	0.75658
311	38	0.75676
312	43	0.756963
313	38	0.757143
314	40	0.757332
315	47	0.757554
316	38	0.757733
317	40	0.757922
318	46	0.75814
319	37	0.758315
320	37	0.758489
321	33	0.758645
322	33	0.758801
323	33	0.758957
324	28	0.759089
325	39	0.759274
326	34	0.759434
327	37	0.759609
328	34	0.75977
329	35	0.759935
330	35	0.760101
331	33	0.760257
332	38	0.760436
333	51	0.760677
334	43	0.76088
335	28	0.761013
336	39	0.761197
337	39	0.761381
338	44	0.761589
339	47	0.761811
340	39	0.761996
341	28	0.762128
342	39	0.762312
343	39	0.762497
344	35	0.762662
345	38	0.762842
346	30	0.762983
347	38	0.763163
348	37	0.763338
349	38	0.763517
350	42	0.763716
351	33	0.763872
352	32	0.764023
353	36	0.764193
354	28	0.764325
355	29	0.764462
356	52	0.764708
357	40	0.764897
358	34	0.765058
359	31	0.765204
360	38	0.765384
361	35	0.765549
362	42	0.765748
363	39	0.765932
364	30	0.766074
365	25	0.766192
366	26	0.766315
367	35	0.76648
368	35	0.766646
369	39	0.76683
370	52	0.767076
371	34	0.767236
372	48	0.767463
373	28	0.767595
374	32	0.767747
375	26	0.767869
376	40	0.768058
377	28	0.768191
378	35	0.768356
379	22	0.76846
380	31	0.768607
381	37	0.768781
382	34	0.768942
383	25	0.76906
384	39	0.769245
385	32	0.769396
386	43	0.769599
387	37	0.769774
388	30	0.769916
389	58	0.77019
390	97	0.770648
391	53	0.770899
392	66	0.77121
393	76	0.77157
394	93	0.772009
395	42	0.772207
396	50	0.772444
397	36	0.772614
398	25	0.772732
399	27	0.77286
400	40	0.773049
401	53	0.773299
402	61	0.773587
403	27	0.773715
404	37	0.77389
405	32	0.774041
406	74	0.774391
407	74	0.77474
408	146	0.77543
409	157	0.776172
410	133	0.776801
411	133	0.777429
412	136	0.778072
413	144	0.778752
414	55	0.779012
415	94	0.779456
416	106	0.779957
417	26	0.78008
418	18	0.780165
419	30	0.780307
420	28	0.780439
421	30	0.780581
422	24	0.780694
423	26	0.780817
424	26	0.78094
425	29	0.781077
426	34	0.781238
427	27	0.781365
428	28	0.781498
429	22	0.781602
430	31	0.781748
431	29	0.781885
432	33	0.782041
433	30	0.782183
434	26	0.782306
435	26	0.782429
436	30	0.78257
437	124	0.783156
438	153	0.783879
439	126	0.784475
440	113	0.785009
441	142	0.78568
442	214	0.786691
443	79	0.787064
444	26	0.787187
445	39	0.787372
