#distance	count	cdf
353	31	0.698728
354	35	0.698931
355	24	0.69907
356	19	0.69918
357	16	0.699273
358	29	0.699441
359	22	0.699569
360	45	0.69983
361	18	0.699934
362	28	0.700097
363	28	0.700259
364	27	0.700416
365	25	0.700561
366	18	0.700665
367	29	0.700834
368	29	0.701002
369	25	0.701147
370	32	0.701333
371	19	0.701443
372	24	0.701582
373	34	0.701779
374	25	0.701924
375	20	0.702041
376	22	0.702168
377	25	0.702313
378	35	0.702516
379	32	0.702702
380	22	0.70283
381	29	0.702998
382	28	0.70316
383	21	0.703282
384	26	0.703433
385	29	0.703601
386	26	0.703752
387	29	0.70392
388	35	0.704123
389	30	0.704297
390	33	0.704489
391	24	0.704628
392	21	0.70475
393	30	0.704924
394	30	0.705098
395	21	0.70522
396	29	0.705388
397	35	0.705591
398	26	0.705742
399	26	0.705893
400	22	0.706021
401	32	0.706206
402	29	0.706374
403	18	0.706479
404	33	0.70667
405	18	0.706775
406	26	0.706926
407	27	0.707082
408	27	0.707239
409	32	0.707425
410	27	0.707581
411	35	0.707784
412	27	0.707941
413	17	0.70804
414	33	0.708231
415	25	0.708376
416	22	0.708504
417	23	0.708637
418	29	0.708805
419	24	0.708945
420	24	0.709084
421	36	0.709293
422	27	0.709449
423	22	0.709577
424	30	0.709751
425	24	0.70989
426	34	0.710088
427	24	0.710227
428	23	0.71036
429	30	0.710534
430	28	0.710697
431	24	0.710836
432	13	0.710912
433	24	0.711051
434	38	0.711271
435	22	0.711399
436	29	0.711567
437	18	0.711672
438	29	0.71184
439	27	0.711996
440	26	0.712147
441	25	0.712292
442	22	0.71242
443	20	0.712536
444	26	0.712687
445	32	0.712873
446	24	0.713012
447	17	0.71311
448	21	0.713232
449	14	0.713313
450	27	0.71347
451	31	0.71365
452	19	0.71376
453	19	0.71387
454	13	0.713946
455	33	0.714137
456	35	0.71434
457	21	0.714462
458	17	0.714561
459	10	0.714619
460	19	0.714729
461	20	0.714845
462	18	0.71495
463	28	0.715112
464	18	0.715216
465	23	0.71535
466	31	0.71553
467	21	0.715652
468	19	0.715762
469	13	0.715837
470	17	0.715936
471	24	0.716075
472	14	0.716156
473	24	0.716296
474	20	0.716412
475	30	0.716586
476	13	0.716661
477	26	0.716812
478	22	0.71694
479	21	0.717061
480	21	0.717183
481	26	0.717334
482	26	0.717485
483	18	0.717589
484	21	0.717711
485	17	0.71781
486	24	0.717949
487	18	0.718054
488	25	0.718199
489	18	0.718303
490	21	0.718425
491	24	0.718564
492	14	0.718645
493	15	0.718732
494	11	0.718796
495	17	0.718895
496	17	0.718993
497	18	0.719098
498	19	0.719208
499	24	0.719347
500	28	0.71951
501	22	0.719638
502	23	0.719771
503	20	0.719887
504	18	0.719991
505	24	0.720131
506	23	0.720264
507	23	0.720398
508	21	0.720519
509	23	0.720653
510	20	0.720769
511	20	0.720885
512	20	0.721001
513	25	0.721146
514	16	0.721239
515	20	0.721355
516	22	0.721482
517	19	0.721593
518	17	0.721691
519	17	0.72179
520	19	0.7219
521	16	0.721993
522	14	0.722074
523	14	0.722156
524	23	0.722289
525	26	0.72244
526	19	0.72255
527	25	0.722695
528	12	0.722765
529	34	0.722962
530	25	0.723107
531	17	0.723206
532	16	0.723298
533	23	0.723432
534	18	0.723536
535	14	0.723618
536	25	0.723763
537	17	0.723861
538	21	0.723983
539	15	0.72407
540	12	0.72414
541	14	0.724221
542	27	0.724378
543	20	0.724494
544	14	0.724575
545	29	0.724743
546	12	0.724813
547	28	0.724975
548	20	0.725091
549	20	0.725207
550	10	0.725265
551	19	0.725376
552	14	0.725457
553	20	0.725573
554	11	0.725637
555	14	0.725718
556	30	0.725892
557	20	0.726008
558	21	0.72613
559	13	0.726205
560	19	0.726315
561	16	0.726408
562	17	0.726507
563	15	0.726594
564	14	0.726675
565	16	0.726768
566	17	0.726867
567	26	0.727017
568	16	0.72711
569	18	0.727215
570	16	0.727308
571	20	0.727424
572	19	0.727534
573	12	0.727603
574	18	0.727708
575	15	0.727795
576	17	0.727894
577	16	0.727986
578	19	0.728097
579	15	0.728184
