SuperFeature,HitCount,HitRatio
3684865047349214249,1187,0.00150185
9220226480068358137,942,0.00119186
18269566227045547674,897,0.00113493
16359428529522396914,764,0.000966649
15738833846371720337,667,0.00084392
7995842732632765118,557,0.000704743
8816683183342397057,505,0.00063895
7925791756931222051,405,0.000512425
6875033423488178647,399,0.000504834
13698515238744733238,357,0.000451693
11041554147703777230,348,0.000440306
54794650524622002,324,0.00040994
2689081285756318468,304,0.000384635
17712025353969102942,295,0.000373248
3902127150571683799,283,0.000358065
6292709650733408622,282,0.0003568
17776340543193596423,271,0.000342882
11921243070061441010,271,0.000342882
4481778616994717229,269,0.000340352
1158625510208820052,267,0.000337821
12047186725361273263,256,0.000323903
6214347022682396672,255,0.000322638
14492983619246896055,250,0.000316312
776515234333905876,227,0.000287211
14413416919678524300,226,0.000285946
7041929683013252212,224,0.000283416
14085381392486712560,205,0.000259376
7265463156579825145,203,0.000256845
15916161670740719389,201,0.000254315
9590819804765766599,195,0.000246723
8947534961290669922,191,0.000241662
15074785097722786348,188,0.000237867
3834601779645373101,187,0.000236601
14355813581296354302,183,0.00023154
11961538284084528009,183,0.00023154
2369300114978085178,182,0.000230275
14654220234707647344,181,0.00022901
1600820186246190514,180,0.000227745
10690974244274488374,180,0.000227745
6580232074064315721,180,0.000227745
2961574858660227269,178,0.000225214
13134462731003740901,174,0.000220153
16913237238522222265,172,0.000217623
12460896444746162659,163,0.000206235
14974809660206644908,162,0.00020497
4502340762705155044,161,0.000203705
16860219429361802356,159,0.000201174
138298114120142056,159,0.000201174
6727492107745870648,155,0.000196113
10815267884241537831,154,0.000194848
2169272944226264905,153,0.000193583
13661581532572583162,153,0.000193583
16201014711254189541,152,0.000192318
6227652494567597969,151,0.000191052
3098267319322396007,149,0.000188522
667526065759054032,148,0.000187257
4499020590765851528,147,0.000185991
14197247240903375131,147,0.000185991
4201358937661792304,147,0.000185991
3434391030695362012,146,0.000184726
2951673248577696590,145,0.000183461
9991569762774226371,145,0.000183461
15634220885012287938,142,0.000179665
3778691521361798967,140,0.000177135
9608187482946837576,138,0.000174604
7397626412826371073,137,0.000173339
13038195068502937758,137,0.000173339
12756018924393355372,136,0.000172074
2915106594323379809,135,0.000170808
4451209332927873511,133,0.000168278
11819763149185631953,132,0.000167013
16186812438130703702,131,0.000165747
626094490423597822,131,0.000165747
11121401568766535474,129,0.000163217
15708462895921307659,125,0.000158156
8559909957238088442,125,0.000158156
3784619229175927590,124,0.000156891
2420013228453241592,124,0.000156891
5231841275714311240,123,0.000155625
12130557514719452642,123,0.000155625
11119967187954927863,123,0.000155625
10051170849793286449,121,0.000153095
15114190280945691990,120,0.00015183
15751007601629024603,119,0.000150564
4593415408747251363,118,0.000149299
15420666043529230519,117,0.000148034
5357261547622680841,113,0.000142973
3946222479109218106,112,0.000141708
380538769488041307,112,0.000141708
12030935996252896263,111,0.000140443
16397996371663521611,110,0.000139177
13250558827939068816,109,0.000137912
9883235605520451880,108,0.000136647
16139698722267757059,108,0.000136647
6479916112498768933,105,0.000132851
18283062761884861122,103,0.000130321
15399817859939215532,103,0.000130321
5117292889612686406,102,0.000129055
6689014918776064564,102,0.000129055
16860059671019603183,102,0.000129055
