14213631249159277398,1
938478487803573778,1
1146551604754623467,1
17504806824605856624,1
631647794216578399,1
1859418027663185413,1
1598463132820871016,1
8274220649383216709,1
15893064530115527658,1
11347086978815047952,1
15470434824230599355,1
6921009444512472657,1
906055084418481275,1
14850235729265331862,2
18292196869760289453,1
17621347977896112808,1
8250431651332392847,3
2311579781052221827,1
5302122714658907082,1
13747415615316342440,2
6952431159223033430,1
17963325146328818176,3
17418314877198103958,1
14775064020678290068,1
18159415639944454444,3
4169888734403898628,2
16918423983654855786,1
13585578020642488769,1
2001311962793233512,1
6810221991693627227,1
12146166131220658294,1
6730268131900309214,1
12689149950851066024,1
8652667671396944614,1
3815845652637279567,1
423899485444520630,4
10465005117783763098,10
13981471813527510157,4
8978286769040336894,3
5457835347006746841,2
6597724821613100691,7
8244918236584710742,1
14168077823029424845,20
14398788403675705183,5
17261733218541714394,1
11380726676202024768,1
2301131933883193059,1
10433947998287576150,4
14728808336321993870,1
10365734216094676576,2
6311178166159761415,2
11609384464482160837,1
4188336834958018246,1
1646978142744671660,16
11551341181429678627,8
10847559572599771689,1
12772620280915027496,2
15430060409491654218,1
7137178276870918003,1
15737889127958913548,1
3562196526363244269,1
8841280038929290994,1
2932261722914182410,1
3036052345527558617,4
13695092359222662008,2
5252906537532233143,1
15156230278073956183,1
6370040979724118263,1
14592419673488775932,1
14012458525960926752,1
318029120370370452,1
11637886238207775394,1
3553589344806611214,1
17794715758298449763,3
10255285571562613799,1
10666018366960734964,1
8372117389640239243,1
8714004108632191600,1
16122451052373024031,1
3150021054288269605,13
4078973586753895536,2
11743458834116270119,1
7714957902419477267,2
18236063552463936174,2
8742473140523162051,1
11952103353642387193,1
16144221541819071400,4
3505997330439284171,1
11449102157824473266,1
4931332410613002103,1
4391811743570372023,1
9068306034796285970,1
15621816385581376805,1
845653443074343043,1
6814631752002834992,1
2887457132535340829,1
1575315016453360934,1
11243089995486529929,1
10835680130382718948,1
16925953278177027331,1
16225777539210551387,1
516270708540676042,1
2511897160386382907,2
4883868952362314081,1
5418128269748538022,1
5076681927905240723,1
1861789468128092914,1
1171334522892011410,2
9529489186459031006,1
5828478199675323607,1
17167163180562659543,2
14031529731498262082,3
7497743890512116400,1
170264282770621684,1
16495613714898129073,2
13901445601984572966,1
8639035290993681196,1
7789889624934458337,1
12154683279238803291,2
283061332897220990,3
3206271652416479766,1
2024010136614123787,1
4406663707300148468,1
9397579326349802333,1
5257995441112855885,2
15455236992178029437,1
15887207183463166053,1
10638085143285641386,4
4238581766431754482,11
17415552181912601891,26
2462278886274466034,13
7253340039072595529,1
13981089973431283097,1
13403780476660694502,1
6587036976807509396,1
16131680116876131730,1
16886268098088465694,1
1772659139751568160,1
12432486951330383810,1
1939804216450834292,2
8194191019780645834,5
8188235039340604452,2
14735704387192491961,3
12205201771734117465,59
16576268940428684833,1
9055552820702865642,1
4845449759988098822,1
6643687847611117247,3
2153627060042089875,3
15357143260240187216,1
10448941497932747102,1
17919769235026284594,1
13572535177483915852,2
10150783056244903590,1
8031342713399927181,1
3935554554465058547,1
2876263275418017532,1
13067901829774004679,1
14347690435287206530,1
8087004391653055472,1
17777997220156140173,1
4492237011523209945,1
12637906932795035370,1
496028654362952578,1
10208686773104292551,1
13583324528870047005,2
13039084635694507002,1
300673575111699213,1
8397093994950623281,2
7997206631623587731,1
8404512751820568143,1
3848142163904513235,1
1725565429441456563,1
12868835235948278597,1
5362324901748817678,1
12284177321137644546,1
8241200270758627766,2
13376514562366704589,5
6505542393275251659,4
8423419268314335256,1
13653264716677481376,1
10362077856490769559,2
1706452290880126551,2
9407422674462129656,1
4653217201095150553,1
703838563815178002,1
1656780561848095671,2
1182894256658329536,4
12338705927755452249,1
2618641418812406221,2
14891810079016092665,26
619929156061784441,1
13423146417486770445,1
18366490506879740655,1
10271967555904138280,1
6768802269741190792,1
5882846048764957340,1
13877695471711614461,1
9346328103448631568,1
11978576628550400609,1
14424006948240903949,1
14209668730039700353,1
2763126098876749828,1
9742789835768525413,1
5290941269504258245,1
6416980988767572571,1
12124421463281605123,1
4895976901758808903,1
6410220662603270900,1
3009507105702909204,1
9635508546304676995,1
1038380210758129325,1
3049682986238817441,2
2701666075297537224,3
7543380249405963583,1
16091361274683712909,2
12693813345176228823,1
6090695661621252238,3
5186160509600876214,1
17949444195498915263,2
3807544355846378316,1
10399862811841535506,1
4099201713221989853,7
12610457099921770609,10
5510255088133617750,1
15899829174977338291,1
17199843329872932506,1
8715653774474078435,1
13822199964059121433,1
3459753865896288019,1
3595029063327229766,1
10230635445775787315,3
7081990164988296770,3
12738730152853032348,3
2239425927234425344,1
9084455308939191940,4
5966923152067573910,13
6345981013963287775,9
2373189809034055293,1
13684620616431330159,2
4644811469119967232,1
8463887804059548134,2
1319976178594323230,2
12166857561987148195,3
11874252937061579895,1
13859869757922304580,8
5589503797055985784,2
2721264107266725409,1
5782086461335102627,2
10170151729882957792,17
17500162534998940272,2
3535660276527337962,1
13767272762219566504,2
15651713368643755051,2
5009015413998075278,4
4997438061545435456,1
1626884103387691472,3
8391657416681172530,2
1797800145703825334,3
7497841646526758639,1
13122868319725406668,6
6741033298396176141,6
13312225983866450314,1
17278716716192350703,1
11835521872738079375,1
16861286293598324265,3
1584717349576070142,6
1464397558933405467,7
3656580163453697011,1
1092219629814067629,2
8178999665075874105,1
2317474758585251351,2
225115436536672494,1
9504439510134421422,2
1064681913877540672,1
11572013555757724603,2
3498007733618541220,3
9731548703261470886,3
17161896018665792276,1
3988029026462872735,1
10395994242502219352,4
4383696274280991258,1
2857891979369240978,1
12862909453978195575,1
4833525817195989789,1
18381735313722823962,1
3332721279355861849,2
18401829107978810596,3
15335793986803678973,1
10923602352423209796,1
11716067183594434462,1
6880033387855988528,1
12969882235049906843,4
8539829541551852020,1
16604332695143591098,1
7869130065417122727,1
